message_id,channel_name,image_path,category,detected_objects,num_detections,max_confidence,detections_json
10,CheMed123,data\raw\images\CheMed123\10.jpg,other,,0,0.0,[]
11,CheMed123,data\raw\images\CheMed123\11.jpg,other,clock,1,0.4273,"[{'class': 'clock', 'confidence': 0.4272933602333069, 'bbox': [14.79415512084961, 68.83792877197266, 1017.0598754882812, 1015.8035278320312]}]"
13,CheMed123,data\raw\images\CheMed123\13.jpg,other,"hot dog, donut, hot dog, donut, hot dog, hot dog",6,0.5039,"[{'class': 'hot dog', 'confidence': 0.5038560032844543, 'bbox': [525.9769287109375, 634.03759765625, 640.9716796875, 752.583984375]}, {'class': 'donut', 'confidence': 0.3989974856376648, 'bbox': [591.7051391601562, 588.3563232421875, 700.2650756835938, 706.5772705078125]}, {'class': 'hot dog', 'confidence': 0.30973342061042786, 'bbox': [298.99737548828125, 615.65869140625, 401.0133056640625, 716.1962890625]}, {'class': 'donut', 'confidence': 0.29692158102989197, 'bbox': [483.271728515625, 559.5343017578125, 580.877685546875, 645.15478515625]}, {'class': 'hot dog', 'confidence': 0.2636592388153076, 'bbox': [470.69189453125, 687.9140014648438, 582.2236328125, 789.9092407226562]}, {'class': 'hot dog', 'confidence': 0.25024130940437317, 'bbox': [482.82623291015625, 559.193359375, 581.6253051757812, 644.184814453125]}]"
14,CheMed123,data\raw\images\CheMed123\14.jpg,other,,0,0.0,[]
15,CheMed123,data\raw\images\CheMed123\15.jpg,other,,0,0.0,[]
17,CheMed123,data\raw\images\CheMed123\17.jpg,product_display,"bottle, bottle, bottle, bottle, bottle, bottle, bottle, bottle, bottle, bottle, bottle",11,0.526,"[{'class': 'bottle', 'confidence': 0.5259650349617004, 'bbox': [399.20867919921875, 509.6058349609375, 445.15252685546875, 607.4102783203125]}, {'class': 'bottle', 'confidence': 0.49454933404922485, 'bbox': [501.37841796875, 451.9906005859375, 542.0057373046875, 548.2236328125]}, {'class': 'bottle', 'confidence': 0.4317871928215027, 'bbox': [466.9656982421875, 586.1439208984375, 507.9967041015625, 657.5914306640625]}, {'class': 'bottle', 'confidence': 0.3873794972896576, 'bbox': [574.7398681640625, 374.265625, 605.7822265625, 462.2757568359375]}, {'class': 'bottle', 'confidence': 0.38497117161750793, 'bbox': [494.150634765625, 577.7921142578125, 536.541015625, 673.1878662109375]}, {'class': 'bottle', 'confidence': 0.3799237012863159, 'bbox': [435.9056396484375, 531.8917236328125, 482.854736328125, 636.8275146484375]}, {'class': 'bottle', 'confidence': 0.374876469373703, 'bbox': [376.343017578125, 287.2034912109375, 446.0543212890625, 484.5555419921875]}, {'class': 'bottle', 'confidence': 0.3264196515083313, 'bbox': [633.582275390625, 510.8115234375, 666.484375, 594.7371826171875]}, {'class': 'bottle', 'confidence': 0.2848581373691559, 'bbox': [585.3197021484375, 525.00390625, 614.3363037109375, 597.0908203125]}, {'class': 'bottle', 'confidence': 0.27928799390792847, 'bbox': [610.6633911132812, 513.0506591796875, 638.2064819335938, 605.114501953125]}, {'class': 'bottle', 'confidence': 0.27187925577163696, 'bbox': [601.27880859375, 390.3765869140625, 631.686767578125, 446.43408203125]}]"
18,CheMed123,data\raw\images\CheMed123\18.jpg,other,,0,0.0,[]
19,CheMed123,data\raw\images\CheMed123\19.jpg,lifestyle,"person, person, dining table, dining table",4,0.9401,"[{'class': 'person', 'confidence': 0.9401442408561707, 'bbox': [676.1405029296875, 428.8314208984375, 1181.8526611328125, 876.30322265625]}, {'class': 'person', 'confidence': 0.9276632070541382, 'bbox': [62.58905029296875, 381.71710205078125, 569.59912109375, 865.6168823242188]}, {'class': 'dining table', 'confidence': 0.3616376519203186, 'bbox': [7.201904296875, 816.9187622070312, 1164.156982421875, 959.2965698242188]}, {'class': 'dining table', 'confidence': 0.32224997878074646, 'bbox': [7.536865234375, 738.8099365234375, 1277.37548828125, 959.5399169921875]}]"
2,CheMed123,data\raw\images\CheMed123\2.jpg,product_display,bottle,1,0.3872,"[{'class': 'bottle', 'confidence': 0.38718315958976746, 'bbox': [384.7618713378906, 355.11126708984375, 547.1652221679688, 647.0660400390625]}]"
20,CheMed123,data\raw\images\CheMed123\20.jpg,lifestyle,"person, person, dining table, dining table",4,0.9401,"[{'class': 'person', 'confidence': 0.9401442408561707, 'bbox': [676.1405029296875, 428.8314208984375, 1181.8526611328125, 876.30322265625]}, {'class': 'person', 'confidence': 0.9276632070541382, 'bbox': [62.58905029296875, 381.71710205078125, 569.59912109375, 865.6168823242188]}, {'class': 'dining table', 'confidence': 0.3616376519203186, 'bbox': [7.201904296875, 816.9187622070312, 1164.156982421875, 959.2965698242188]}, {'class': 'dining table', 'confidence': 0.32224997878074646, 'bbox': [7.536865234375, 738.8099365234375, 1277.37548828125, 959.5399169921875]}]"
